    0.0    0.000    0.000    0.000
    1.0    0.000   -0.273    0.441
    2.0    0.000   -0.273    0.441
    3.0    0.000   -0.273    0.441
    4.0    0.000   -0.273    0.441
    5.0    0.000   -0.273    0.441
    6.0    0.000   -0.273    0.441
    7.0    0.000   -0.273    0.441
    8.0    0.000   -0.273    0.441
    9.0    0.000   -0.273    0.441
   10.0    0.000   -0.273    0.441
   11.0    0.000   -0.272    0.441
   12.0    0.000   -0.272    0.441
   13.0    0.000   -0.272    0.441
   14.0    0.000   -0.272    0.441
   15.0    0.000   -0.272    0.441
   16.0    0.000   -0.271    0.441
   17.0    0.000   -0.271    0.441
   18.0    0.000   -0.271    0.441
   19.0    0.000   -0.271    0.441
   20.0    0.000   -0.270    0.441
   21.0    0.000   -0.270    0.441
   22.0    0.000   -0.270    0.441
   23.0    0.000   -0.269    0.440
   24.0    0.000   -0.269    0.440
   25.0    0.000   -0.269    0.440
   26.0    0.000   -0.268    0.440
   27.0    0.000   -0.268    0.440
   28.0    0.000   -0.267    0.440
   29.0    0.000   -0.267    0.440
   30.0    0.000   -0.267    0.440
   31.0    0.000   -0.266    0.440
   32.0    0.000   -0.266    0.440
   33.0    0.000   -0.265    0.440
   34.0    0.000   -0.265    0.440
   35.0    0.000   -0.264    0.440
   36.0    0.000   -0.264    0.440
   37.0    0.000   -0.263    0.439
   38.0    0.000   -0.262    0.439
   39.0    0.000   -0.262    0.439
   40.0    0.000   -0.261    0.439
   41.0    0.000   -0.260    0.439
   42.0    0.000   -0.260    0.439
   43.0    0.000   -0.259    0.439
   44.0    0.000   -0.258    0.439
   45.0    0.000   -0.258    0.439
   46.0    0.000   -0.257    0.439
   47.0    0.000   -0.256    0.438
   48.0    0.000   -0.255    0.438
   49.0    0.000   -0.255    0.438
   50.0    0.000   -0.254    0.438
   51.0    0.000   -0.253    0.438
   52.0    0.000   -0.252    0.438
   53.0    0.000   -0.251    0.438
   54.0    0.000   -0.250    0.438
   55.0    0.000   -0.250    0.438
   56.0    0.000   -0.249    0.437
   57.0    0.000   -0.248    0.437
   58.0    0.000   -0.247    0.437
   59.0    0.000   -0.246    0.437
   60.0    0.000   -0.245    0.437
